ID,HeartPy_Metrics
0001,"{'bpm': np.float64(71.00920489693108), 'ibi': np.float64(844.960876369327), 'sdnn': np.float64(66.13608133949295), 'sdsd': np.float64(47.367826223543965), 'rmssd': np.float64(74.60514124268865), 'pnn20': 0.7179080824088748, 'pnn50': 0.4294770206022187, 'hr_mad': np.float64(40.0), 'sd1': np.float64(52.75353348372835), 'sd2': np.float64(77.56480312097744), 's': np.float64(12854.823604940388), 'sd1/sd2': np.float64(0.680122057442071), 'breathingrate': np.float64(0.1296464356490656)}"
0002,"{'bpm': np.float64(66.52613970941437), 'ibi': np.float64(901.901121304791), 'sdnn': np.float64(71.22159937046784), 'sdsd': np.float64(41.649806278463004), 'rmssd': np.float64(70.91723952482855), 'pnn20': 0.7497441146366428, 'pnn50': 0.4518935516888434, 'hr_mad': np.float64(50.0), 'sd1': np.float64(50.14573453696097), 'sd2': np.float64(87.01122601988402), 's': np.float64(13707.528515810216), 'sd1/sd2': np.float64(0.5763133888666452), 'breathingrate': np.float64(0.12432679864144716)}"
0003,"{'bpm': np.float64(92.48806632610334), 'ibi': np.float64(648.7323433538573), 'sdnn': np.float64(7.583011611428438), 'sdsd': np.float64(7.008591778974864), 'rmssd': np.float64(9.833092359344493), 'pnn20': 0.012368133866860677, 'pnn50': 0.0010913059294288831, 'hr_mad': np.float64(0.0), 'sd1': np.float64(6.9529987081525375), 'sd2': np.float64(8.112984365052947), 's': np.float64(177.21589010560686), 'sd1/sd2': np.float64(0.8570210905499707), 'breathingrate': np.float64(0.3293973145744354)}"
0004,"{'bpm': np.float64(61.61216274659836), 'ibi': np.float64(973.8336933045356), 'sdnn': np.float64(59.02456190398853), 'sdsd': np.float64(26.51933980120168), 'rmssd': np.float64(41.97811527644092), 'pnn20': 0.5362162162162162, 'pnn50': 0.17081081081081081, 'hr_mad': np.float64(30.0), 'sd1': np.float64(29.682946975071538), 'sd2': np.float64(77.98698773296137), 's': np.float64(7272.421379606299), 'sd1/sd2': np.float64(0.3806140977865462), 'breathingrate': np.float64(0.13307162580258824)}"
0005,"{'bpm': np.float64(66.77489783351061), 'ibi': np.float64(898.5412474849095), 'sdnn': np.float64(93.48594837791306), 'sdsd': np.float64(89.22546929117196), 'rmssd': np.float64(133.17392431571227), 'pnn20': 0.859026369168357, 'pnn50': 0.6338742393509128, 'hr_mad': np.float64(60.0), 'sd1': np.float64(94.16597302719877), 'sd2': np.float64(92.63174909670904), 's': np.float64(27403.354923970117), 'sd1/sd2': np.float64(1.016562614281287), 'breathingrate': np.float64(0.2799081901136427)}"
0006,"{'bpm': np.float64(53.92835725595261), 'ibi': np.float64(1112.5872), 'sdnn': np.float64(88.21558590271903), 'sdsd': np.float64(70.93038282654896), 'rmssd': np.float64(109.48369379921739), 'pnn20': 0.8277227722772277, 'pnn50': 0.598019801980198, 'hr_mad': np.float64(47.0), 'sd1': np.float64(77.27989656753478), 'sd2': np.float64(87.6398153220519), 's': np.float64(21277.365728362704), 'sd1/sd2': np.float64(0.8817898153202707), 'breathingrate': np.float64(0.2732397606994938)}"
0007,"{'bpm': np.float64(62.61878235795268), 'ibi': np.float64(958.1789638932496), 'sdnn': np.float64(74.21158175611392), 'sdsd': np.float64(41.26309192590287), 'rmssd': np.float64(65.83503602569029), 'pnn20': 0.6913385826771653, 'pnn50': 0.3905511811023622, 'hr_mad': np.float64(50.0), 'sd1': np.float64(46.550993641274914), 'sd2': np.float64(93.62816430682759), 's': np.float64(13692.581570573038), 'sd1/sd2': np.float64(0.49719007080736183), 'breathingrate': np.float64(0.17202962186250736)}"
0008,"{'bpm': np.float64(50.83568363348271), 'ibi': np.float64(1180.2732984293193), 'sdnn': np.float64(136.2876372689997), 'sdsd': np.float64(126.80244335142248), 'rmssd': np.float64(190.47499542091347), 'pnn20': 0.8443496801705757, 'pnn50': 0.6769722814498934, 'hr_mad': np.float64(70.0), 'sd1': np.float64(134.6465831186571), 'sd2': np.float64(135.45191040644573), 's': np.float64(57296.796941430126), 'sd1/sd2': np.float64(0.9940545151015433), 'breathingrate': np.float64(0.1685652436211363)}"
0009,"{'bpm': np.float64(62.67135801731448), 'ibi': np.float64(957.3751375137514), 'sdnn': np.float64(87.38649452782265), 'sdsd': np.float64(50.075095909722215), 'rmssd': np.float64(74.36723460280261), 'pnn20': 0.7497116493656286, 'pnn50': 0.4186851211072664, 'hr_mad': np.float64(59.0), 'sd1': np.float64(52.5762998636949), 'sd2': np.float64(111.70337153142572), 's': np.float64(18450.416441137313), 'sd1/sd2': np.float64(0.4706778241595287), 'breathingrate': np.float64(0.13790091819028027)}"
0010,"{'bpm': np.float64(79.86821744122199), 'ibi': np.float64(751.2375), 'sdnn': np.float64(55.78596233596764), 'sdsd': np.float64(23.064209183067465), 'rmssd': np.float64(32.671602102742064), 'pnn20': 0.3609022556390977, 'pnn50': 0.06390977443609022, 'hr_mad': np.float64(30.0), 'sd1': np.float64(23.102202641434133), 'sd2': np.float64(75.39440412018058), 's': np.float64(5471.953205402154), 'sd1/sd2': np.float64(0.306418001588137), 'breathingrate': np.float64(0.13311369573536996)}"
